Date,Time,Humidity(%),Temperature(C)
2026-02-17,12:17:38,82.00,5.80
2026-02-17,12:17:48,82.00,5.80
2026-02-17,12:17:59,82.00,5.80
2026-02-17,12:18:09,82.00,5.80
2026-02-17,12:18:19,83.00,5.80
2026-02-17,12:18:29,82.00,5.80
2026-02-17,12:18:39,82.00,5.80
2026-02-17,12:18:49,82.00,5.80
2026-02-17,12:18:59,83.00,5.80
2026-02-17,12:19:09,83.00,5.70
2026-02-17,12:19:19,83.00,5.70
2026-02-17,12:19:29,83.00,5.60
2026-02-17,12:19:39,83.00,5.50
2026-02-17,12:19:49,84.00,5.50
2026-02-17,12:19:59,84.00,5.40
2026-02-17,12:20:09,84.00,5.40
2026-02-17,12:20:19,84.00,5.50
2026-02-17,12:20:29,84.00,5.50
2026-02-17,12:20:39,84.00,5.50
2026-02-17,12:20:49,84.00,5.50
2026-02-17,12:20:59,84.00,5.50
2026-02-17,12:21:09,84.00,5.60
2026-02-17,12:21:19,84.00,5.70
2026-02-17,12:21:29,84.00,5.80
2026-02-17,12:21:39,84.00,5.90
2026-02-17,12:21:49,83.00,5.90
2026-02-17,12:21:59,83.00,6.00
2026-02-17,12:22:09,83.00,6.00
2026-02-17,12:22:19,82.00,6.00
2026-02-17,12:22:29,82.00,6.00
2026-02-17,12:22:39,82.00,6.00
2026-02-17,12:22:49,82.00,6.00
2026-02-17,12:22:59,82.00,6.00
2026-02-17,12:23:09,82.00,6.00
2026-02-17,12:23:19,82.00,6.00
2026-02-17,12:23:29,82.00,6.10
2026-02-17,12:23:39,82.00,6.10
2026-02-17,12:23:49,82.00,6.10
2026-02-17,12:24:00,81.00,6.10
2026-02-17,12:24:10,82.00,6.10
2026-02-17,12:24:20,81.00,6.10
2026-02-17,12:24:30,81.00,6.00
2026-02-17,12:24:40,81.00,6.00
2026-02-17,12:24:50,82.00,6.00
2026-02-17,12:25:00,81.00,5.90
2026-02-17,12:25:10,81.00,5.90
2026-02-17,12:25:20,82.00,5.90
2026-02-17,12:25:30,82.00,5.90
2026-02-17,12:25:40,82.00,6.00
2026-02-17,12:25:50,82.00,6.00
2026-02-17,12:26:00,82.00,6.10
2026-02-17,12:26:10,82.00,6.20
2026-02-17,12:26:20,83.00,6.30
2026-02-17,12:26:30,82.00,6.30
2026-02-17,12:26:40,81.00,6.20
2026-02-17,12:26:50,81.00,6.10
2026-02-17,12:27:00,81.00,6.10
2026-02-17,12:27:10,81.00,6.10
2026-02-17,12:27:20,81.00,6.10
2026-02-17,12:27:30,82.00,5.90
2026-02-17,12:27:40,82.00,5.90
2026-02-17,12:27:50,82.00,5.90
2026-02-17,12:28:00,82.00,5.90
2026-02-17,12:28:10,82.00,5.90
2026-02-17,12:28:20,82.00,5.90
2026-02-17,12:28:30,82.00,5.90
2026-02-17,12:28:40,82.00,5.90
2026-02-17,12:28:50,82.00,5.80
2026-02-17,12:29:00,82.00,5.90
2026-02-17,12:29:10,82.00,5.90
2026-02-17,12:29:20,82.00,5.80
2026-02-17,12:29:30,82.00,5.80
2026-02-17,12:29:40,83.00,5.80
2026-02-17,12:29:51,83.00,5.80
2026-02-17,12:30:01,83.00,5.80
2026-02-17,12:30:11,83.00,5.80
2026-02-17,12:30:21,83.00,5.80
2026-02-17,12:30:31,83.00,5.80
2026-02-17,12:30:41,83.00,5.80
2026-02-17,12:30:51,83.00,5.80
2026-02-17,12:31:01,83.00,5.80
2026-02-17,12:31:11,83.00,5.80
