Date,Time,Humidity(%),Temperature(C)
2026-02-19,08:24:24,86.00,-2.60
2026-02-19,08:24:34,86.00,-2.50
2026-02-19,08:24:44,86.00,-2.50
2026-02-19,08:24:54,86.00,-2.40
2026-02-19,08:25:04,86.00,-2.40
2026-02-19,08:25:14,86.00,-2.40
2026-02-19,08:25:24,86.00,-2.40
2026-02-19,08:25:34,86.00,-2.50
2026-02-19,08:25:44,86.00,-2.50
2026-02-19,08:25:54,86.00,-2.50
2026-02-19,08:26:04,86.00,-2.50
2026-02-19,08:26:14,86.00,-2.50
2026-02-19,08:26:24,86.00,-2.50
2026-02-19,08:26:34,86.00,-2.50
2026-02-19,08:26:44,86.00,-2.50
2026-02-19,08:26:54,86.00,-2.50
2026-02-19,08:27:04,86.00,-2.50
2026-02-19,08:27:14,86.00,-2.50
2026-02-19,08:27:24,86.00,-2.50
2026-02-19,08:27:34,86.00,-2.50
2026-02-19,08:27:44,86.00,-2.50
2026-02-19,08:27:54,86.00,-2.50
2026-02-19,08:28:04,86.00,-2.50
2026-02-19,08:28:14,86.00,-2.60
2026-02-19,08:28:24,86.00,-2.60
2026-02-19,08:28:34,86.00,-2.60
2026-02-19,08:28:44,86.00,-2.60
2026-02-19,08:28:54,86.00,-2.50
2026-02-19,08:29:04,86.00,-2.60
2026-02-19,08:29:14,86.00,-2.60
2026-02-19,08:29:24,86.00,-2.50
2026-02-19,08:29:34,86.00,-2.50
2026-02-19,08:29:44,86.00,-2.60
2026-02-19,08:29:54,86.00,-2.60
2026-02-19,08:30:04,86.00,-2.60
2026-02-19,08:30:14,86.00,-2.60
2026-02-19,08:30:24,86.00,-2.60
2026-02-19,08:30:35,86.00,-2.60
2026-02-19,08:30:45,86.00,-2.60
2026-02-19,08:30:55,86.00,-2.60
2026-02-19,08:31:05,86.00,-2.60
2026-02-19,08:31:15,86.00,-2.60
2026-02-19,08:31:25,86.00,-2.60
2026-02-19,08:31:35,86.00,-2.60
2026-02-19,08:31:45,86.00,-2.60
2026-02-19,08:31:55,86.00,-2.60
2026-02-19,08:32:05,86.00,-2.60
2026-02-19,08:32:15,86.00,-2.60
2026-02-19,08:32:25,86.00,-2.60
2026-02-19,08:32:35,86.00,-2.60
2026-02-19,08:32:45,86.00,-2.60
2026-02-19,08:32:55,86.00,-2.60
2026-02-19,08:33:05,86.00,-2.60
2026-02-19,08:33:15,86.00,-2.60
